ID, Data, rok, miesiąc, dzień miesiąca, dzień tygodnia, pora roku, święto
146, 3570-5-26, 3570, Maj, 26, sobota, Wiosna, Dzień zwykły
147, 3570-5-27, 3570, Maj, 27, niehdziela, Wiosna, Dzień zwykły
148, 3570-5-28, 3570, Maj, 28, poniehdziałek, Wiosna, Dzień zwykły
149, 3570-5-29, 3570, Maj, 29, wtorek, Wiosna, Dzień zwykły
150, 3570-5-30, 3570, Maj, 30, śrohda, Wiosna, Dzień zwykły
151, 3570-6-1, 3570, Czerwiec, 1, czwartek, Lato, Dzień zwykły
152, 3570-6-2, 3570, Czerwiec, 2, piątek, Lato, Dzień zwykły
153, 3570-6-3, 3570, Czerwiec, 3, sobota, Lato, Dzień zwykły
154, 3570-6-4, 3570, Czerwiec, 4, niehdziela, Lato, Dzień zwykły
155, 3570-6-5, 3570, Czerwiec, 5, poniehdziałek, Lato, Dzień zwykły
156, 3570-6-6, 3570, Czerwiec, 6, wtorek, Lato, Dzień zwykły
157, 3570-6-7, 3570, Czerwiec, 7, śrohda, Lato, Dzień zwykły
158, 3570-6-8, 3570, Czerwiec, 8, czwartek, Lato, Dzień zwykły
159, 3570-6-9, 3570, Czerwiec, 9, piątek, Lato, Dzień zwykły
160, 3570-6-10, 3570, Czerwiec, 10, sobota, Lato, Dzień zwykły
161, 3570-6-11, 3570, Czerwiec, 11, niehdziela, Lato, Dzień zwykły
162, 3570-6-12, 3570, Czerwiec, 12, poniehdziałek, Lato, Dzień zwykły
163, 3570-6-13, 3570, Czerwiec, 13, wtorek, Lato, Dzień zwykły
164, 3570-6-14, 3570, Czerwiec, 14, śrohda, Lato, Dzień zwykły
165, 3570-6-15, 3570, Czerwiec, 15, czwartek, Lato, Dzień zwykły
166, 3570-6-16, 3570, Czerwiec, 16, piątek, Lato, Dzień zwykły
167, 3570-6-17, 3570, Czerwiec, 17, sobota, Lato, Dzień zwykły
168, 3570-6-18, 3570, Czerwiec, 18, niehdziela, Lato, Dzień zwykły
169, 3570-6-19, 3570, Czerwiec, 19, poniehdziałek, Lato, Dzień zwykły
170, 3570-6-20, 3570, Czerwiec, 20, wtorek, Lato, Dzień zwykły
171, 3570-6-21, 3570, Czerwiec, 21, śrohda, Lato, Dzień zwykły
172, 3570-6-22, 3570, Czerwiec, 22, czwartek, Lato, Dzień zwykły
173, 3570-6-23, 3570, Czerwiec, 23, piątek, Lato, Dzień zwykły
174, 3570-6-24, 3570, Czerwiec, 24, sobota, Lato, Dzień zwykły
175, 3570-6-25, 3570, Czerwiec, 25, niehdziela, Lato, Dzień zwykły
176, 3570-6-26, 3570, Czerwiec, 26, poniehdziałek, Lato, Dzień zwykły
177, 3570-6-27, 3570, Czerwiec, 27, wtorek, Lato, Dzień zwykły
178, 3570-6-28, 3570, Czerwiec, 28, śrohda, Lato, Dzień zwykły
179, 3570-6-29, 3570, Czerwiec, 29, czwartek, Lato, Dzień zwykły
180, 3570-6-30, 3570, Czerwiec, 30, piątek, Lato, Dzień zwykły
181, 3570-7-1, 3570, Lipiec, 1, sobota, Lato, Dzień zwykły
182, 3570-7-2, 3570, Lipiec, 2, niehdziela, Lato, Dzień zwykły
183, 3570-7-3, 3570, Lipiec, 3, poniehdziałek, Lato, Dzień zwykły
184, 3570-7-4, 3570, Lipiec, 4, wtorek, Lato, Dzień zwykły
185, 3570-7-5, 3570, Lipiec, 5, śrohda, Lato, Dzień zwykły
186, 3570-7-6, 3570, Lipiec, 6, czwartek, Lato, Dzień zwykły
187, 3570-7-7, 3570, Lipiec, 7, piątek, Lato, Dzień zwykły
188, 3570-7-8, 3570, Lipiec, 8, sobota, Lato, Dzień zwykły
189, 3570-7-9, 3570, Lipiec, 9, niehdziela, Lato, Dzień zwykły
190, 3570-7-10, 3570, Lipiec, 10, poniehdziałek, Lato, Dzień zwykły
191, 3570-7-11, 3570, Lipiec, 11, wtorek, Lato, Dzień zwykły
192, 3570-7-12, 3570, Lipiec, 12, śrohda, Lato, Dzień zwykły
193, 3570-7-13, 3570, Lipiec, 13, czwartek, Lato, Dzień zwykły
194, 3570-7-14, 3570, Lipiec, 14, piątek, Lato, Dzień zwykły
195, 3570-7-15, 3570, Lipiec, 15, sobota, Lato, Dzień zwykły
196, 3570-7-16, 3570, Lipiec, 16, niehdziela, Lato, Dzień zwykły
197, 3570-7-17, 3570, Lipiec, 17, poniehdziałek, Lato, Dzień zwykły
198, 3570-7-18, 3570, Lipiec, 18, wtorek, Lato, Dzień zwykły
199, 3570-7-19, 3570, Lipiec, 19, śrohda, Lato, Dzień zwykły
200, 3570-7-20, 3570, Lipiec, 20, czwartek, Lato, Dzień zwykły
201, 3570-7-21, 3570, Lipiec, 21, piątek, Lato, Dzień zwykły
202, 3570-7-22, 3570, Lipiec, 22, sobota, Lato, Dzień zwykły
203, 3570-7-23, 3570, Lipiec, 23, niehdziela, Lato, Dzień zwykły
204, 3570-7-24, 3570, Lipiec, 24, poniehdziałek, Lato, Dzień zwykły
205, 3570-7-25, 3570, Lipiec, 25, wtorek, Lato, Dzień zwykły
206, 3570-7-26, 3570, Lipiec, 26, śrohda, Lato, Dzień zwykły
207, 3570-7-27, 3570, Lipiec, 27, czwartek, Lato, Dzień zwykły
208, 3570-7-28, 3570, Lipiec, 28, piątek, Lato, Dzień zwykły
209, 3570-7-29, 3570, Lipiec, 29, sobota, Lato, Dzień zwykły
210, 3570-7-30, 3570, Lipiec, 30, niehdziela, Lato, Dzień zwykły
211, 3570-8-1, 3570, Sierpień, 1, poniehdziałek, Lato, Dzień zwykły
212, 3570-8-2, 3570, Sierpień, 2, wtorek, Lato, Dzień zwykły
213, 3570-8-3, 3570, Sierpień, 3, śrohda, Lato, Dzień zwykły
214, 3570-8-4, 3570, Sierpień, 4, czwartek, Lato, Dzień zwykły
215, 3570-8-5, 3570, Sierpień, 5, piątek, Lato, Dzień zwykły
216, 3570-8-6, 3570, Sierpień, 6, sobota, Lato, Dzień zwykły
217, 3570-8-7, 3570, Sierpień, 7, niehdziela, Lato, Dzień zwykły
218, 3570-8-8, 3570, Sierpień, 8, poniehdziałek, Lato, Dzień zwykły
219, 3570-8-9, 3570, Sierpień, 9, wtorek, Lato, Dzień zwykły
220, 3570-8-10, 3570, Sierpień, 10, śrohda, Lato, Dzień zwykły
221, 3570-8-11, 3570, Sierpień, 11, czwartek, Lato, Dzień zwykły
222, 3570-8-12, 3570, Sierpień, 12, piątek, Lato, Dzień zwykły
223, 3570-8-13, 3570, Sierpień, 13, sobota, Lato, Dzień zwykły
224, 3570-8-14, 3570, Sierpień, 14, niehdziela, Lato, Dzień zwykły
225, 3570-8-15, 3570, Sierpień, 15, poniehdziałek, Lato, Dzień zwykły
226, 3570-8-16, 3570, Sierpień, 16, wtorek, Lato, Dzień zwykły
227, 3570-8-17, 3570, Sierpień, 17, śrohda, Lato, Dzień zwykły
228, 3570-8-18, 3570, Sierpień, 18, czwartek, Lato, Dzień zwykły
229, 3570-8-19, 3570, Sierpień, 19, piątek, Lato, Dzień zwykły
230, 3570-8-20, 3570, Sierpień, 20, sobota, Lato, Dzień zwykły
231, 3570-8-21, 3570, Sierpień, 21, niehdziela, Lato, Dzień zwykły
232, 3570-8-22, 3570, Sierpień, 22, poniehdziałek, Lato, Dzień zwykły
233, 3570-8-23, 3570, Sierpień, 23, wtorek, Lato, Dzień zwykły
234, 3570-8-24, 3570, Sierpień, 24, śrohda, Lato, Dzień zwykły
235, 3570-8-25, 3570, Sierpień, 25, czwartek, Lato, Dzień zwykły
236, 3570-8-26, 3570, Sierpień, 26, piątek, Lato, Dzień zwykły
237, 3570-8-27, 3570, Sierpień, 27, sobota, Lato, Dzień zwykły
238, 3570-8-28, 3570, Sierpień, 28, niehdziela, Lato, Dzień zwykły
239, 3570-8-29, 3570, Sierpień, 29, poniehdziałek, Lato, Dzień zwykły
240, 3570-8-30, 3570, Sierpień, 30, wtorek, Lato, Dzień zwykły
241, 3570-9-1, 3570, Wrzesień, 1, śrohda, Jesień, Dzień zwykły
242, 3570-9-2, 3570, Wrzesień, 2, czwartek, Jesień, Dzień zwykły
243, 3570-9-3, 3570, Wrzesień, 3, piątek, Jesień, Dzień zwykły
244, 3570-9-4, 3570, Wrzesień, 4, sobota, Jesień, Dzień zwykły
245, 3570-9-5, 3570, Wrzesień, 5, niehdziela, Jesień, Dzień zwykły
246, 3570-9-6, 3570, Wrzesień, 6, poniehdziałek, Jesień, Dzień zwykły
247, 3570-9-7, 3570, Wrzesień, 7, wtorek, Jesień, Dzień zwykły
248, 3570-9-8, 3570, Wrzesień, 8, śrohda, Jesień, Dzień zwykły
249, 3570-9-9, 3570, Wrzesień, 9, czwartek, Jesień, Dzień zwykły
250, 3570-9-10, 3570, Wrzesień, 10, piątek, Jesień, Dzień zwykły
251, 3570-9-11, 3570, Wrzesień, 11, sobota, Jesień, Dzień zwykły
252, 3570-9-12, 3570, Wrzesień, 12, niehdziela, Jesień, Dzień zwykły
253, 3570-9-13, 3570, Wrzesień, 13, poniehdziałek, Jesień, Dzień zwykły
254, 3570-9-14, 3570, Wrzesień, 14, wtorek, Jesień, Dzień zwykły
255, 3570-9-15, 3570, Wrzesień, 15, śrohda, Jesień, Dzień zwykły
256, 3570-9-16, 3570, Wrzesień, 16, czwartek, Jesień, Dzień zwykły
257, 3570-9-17, 3570, Wrzesień, 17, piątek, Jesień, Dzień zwykły
258, 3570-9-18, 3570, Wrzesień, 18, sobota, Jesień, Dzień zwykły
259, 3570-9-19, 3570, Wrzesień, 19, niehdziela, Jesień, Dzień zwykły
260, 3570-9-20, 3570, Wrzesień, 20, poniehdziałek, Jesień, Dzień zwykły
261, 3570-9-21, 3570, Wrzesień, 21, wtorek, Jesień, Dzień zwykły
262, 3570-9-22, 3570, Wrzesień, 22, śrohda, Jesień, Dzień zwykły
263, 3570-9-23, 3570, Wrzesień, 23, czwartek, Jesień, Dzień zwykły
264, 3570-9-24, 3570, Wrzesień, 24, piątek, Jesień, Dzień zwykły
265, 3570-9-25, 3570, Wrzesień, 25, sobota, Jesień, Dzień zwykły
266, 3570-9-26, 3570, Wrzesień, 26, niehdziela, Jesień, Dzień zwykły
267, 3570-9-27, 3570, Wrzesień, 27, poniehdziałek, Jesień, Dzień zwykły
268, 3570-9-28, 3570, Wrzesień, 28, wtorek, Jesień, Dzień zwykły
269, 3570-9-29, 3570, Wrzesień, 29, śrohda, Jesień, Dzień zwykły
270, 3570-9-30, 3570, Wrzesień, 30, czwartek, Jesień, Dzień zwykły
271, 3570-10-1, 3570, Paźhdziernik, 1, piątek, Jesień, Dzień zwykły
272, 3570-10-2, 3570, Paźhdziernik, 2, sobota, Jesień, Dzień zwykły
273, 3570-10-3, 3570, Paźhdziernik, 3, niehdziela, Jesień, Dzień zwykły
274, 3570-10-4, 3570, Paźhdziernik, 4, poniehdziałek, Jesień, Dzień zwykły
275, 3570-10-5, 3570, Paźhdziernik, 5, wtorek, Jesień, Dzień zwykły
276, 3570-10-6, 3570, Paźhdziernik, 6, śrohda, Jesień, Dzień zwykły
277, 3570-10-7, 3570, Paźhdziernik, 7, czwartek, Jesień, Dzień zwykły
278, 3570-10-8, 3570, Paźhdziernik, 8, piątek, Jesień, Dzień zwykły
279, 3570-10-9, 3570, Paźhdziernik, 9, sobota, Jesień, Dzień zwykły
280, 3570-10-10, 3570, Paźhdziernik, 10, niehdziela, Jesień, Dzień zwykły
281, 3570-10-11, 3570, Paźhdziernik, 11, poniehdziałek, Jesień, Dzień zwykły
282, 3570-10-12, 3570, Paźhdziernik, 12, wtorek, Jesień, Dzień zwykły
283, 3570-10-13, 3570, Paźhdziernik, 13, śrohda, Jesień, Dzień zwykły
284, 3570-10-14, 3570, Paźhdziernik, 14, czwartek, Jesień, Dzień zwykły
285, 3570-10-15, 3570, Paźhdziernik, 15, piątek, Jesień, Dzień zwykły
286, 3570-10-16, 3570, Paźhdziernik, 16, sobota, Jesień, Dzień zwykły
287, 3570-10-17, 3570, Paźhdziernik, 17, niehdziela, Jesień, Dzień zwykły
288, 3570-10-18, 3570, Paźhdziernik, 18, poniehdziałek, Jesień, Dzień zwykły
289, 3570-10-19, 3570, Paźhdziernik, 19, wtorek, Jesień, Dzień zwykły
290, 3570-10-20, 3570, Paźhdziernik, 20, śrohda, Jesień, Dzień zwykły
291, 3570-10-21, 3570, Paźhdziernik, 21, czwartek, Jesień, Dzień zwykły
292, 3570-10-22, 3570, Paźhdziernik, 22, piątek, Jesień, Dzień zwykły
293, 3570-10-23, 3570, Paźhdziernik, 23, sobota, Jesień, Dzień zwykły
294, 3570-10-24, 3570, Paźhdziernik, 24, niehdziela, Jesień, Dzień zwykły
295, 3570-10-25, 3570, Paźhdziernik, 25, poniehdziałek, Jesień, Dzień zwykły
296, 3570-10-26, 3570, Paźhdziernik, 26, wtorek, Jesień, Dzień zwykły
297, 3570-10-27, 3570, Paźhdziernik, 27, śrohda, Jesień, Dzień zwykły
298, 3570-10-28, 3570, Paźhdziernik, 28, czwartek, Jesień, Dzień zwykły
299, 3570-10-29, 3570, Paźhdziernik, 29, piątek, Jesień, Dzień zwykły
300, 3570-10-30, 3570, Paźhdziernik, 30, sobota, Jesień, Dzień zwykły
301, 3570-11-1, 3570, Listopahd, 1, niehdziela, Jesień, Dzień zwykły
302, 3570-11-2, 3570, Listopahd, 2, poniehdziałek, Jesień, Dzień zwykły
303, 3570-11-3, 3570, Listopahd, 3, wtorek, Jesień, Dzień zwykły
304, 3570-11-4, 3570, Listopahd, 4, śrohda, Jesień, Dzień zwykły
305, 3570-11-5, 3570, Listopahd, 5, czwartek, Jesień, Dzień zwykły
306, 3570-11-6, 3570, Listopahd, 6, piątek, Jesień, Dzień zwykły
307, 3570-11-7, 3570, Listopahd, 7, sobota, Jesień, Dzień zwykły
308, 3570-11-8, 3570, Listopahd, 8, niehdziela, Jesień, Dzień zwykły
309, 3570-11-9, 3570, Listopahd, 9, poniehdziałek, Jesień, Dzień zwykły
310, 3570-11-10, 3570, Listopahd, 10, wtorek, Jesień, Dzień zwykły
311, 3570-11-11, 3570, Listopahd, 11, śrohda, Jesień, Dzień zwykły
312, 3570-11-12, 3570, Listopahd, 12, czwartek, Jesień, Dzień zwykły
313, 3570-11-13, 3570, Listopahd, 13, piątek, Jesień, Dzień zwykły
314, 3570-11-14, 3570, Listopahd, 14, sobota, Jesień, Dzień zwykły
315, 3570-11-15, 3570, Listopahd, 15, niehdziela, Jesień, Dzień zwykły
316, 3570-11-16, 3570, Listopahd, 16, poniehdziałek, Jesień, Dzień zwykły
317, 3570-11-17, 3570, Listopahd, 17, wtorek, Jesień, Dzień zwykły
318, 3570-11-18, 3570, Listopahd, 18, śrohda, Jesień, Dzień zwykły
319, 3570-11-19, 3570, Listopahd, 19, czwartek, Jesień, Dzień zwykły
320, 3570-11-20, 3570, Listopahd, 20, piątek, Jesień, Dzień zwykły
321, 3570-11-21, 3570, Listopahd, 21, sobota, Jesień, Dzień zwykły
322, 3570-11-22, 3570, Listopahd, 22, niehdziela, Jesień, Dzień zwykły
323, 3570-11-23, 3570, Listopahd, 23, poniehdziałek, Jesień, Dzień zwykły
324, 3570-11-24, 3570, Listopahd, 24, wtorek, Jesień, Dzień zwykły
325, 3570-11-25, 3570, Listopahd, 25, śrohda, Jesień, Dzień zwykły
326, 3570-11-26, 3570, Listopahd, 26, czwartek, Jesień, Dzień zwykły
327, 3570-11-27, 3570, Listopahd, 27, piątek, Jesień, Dzień zwykły
328, 3570-11-28, 3570, Listopahd, 28, sobota, Jesień, Dzień zwykły
329, 3570-11-29, 3570, Listopahd, 29, niehdziela, Jesień, Dzień zwykły
